cabbage n.洋白菜，卷心菜# 
change n.改变，变化；零钱# 
channel n.海峡；渠道；频道# 
chapter n.章，回，篇# 
character n.性格；特性；角色# 
characteristic a.特有的n.特性# 
charge vt.索价；控告n.费用# 
charity n.施舍；慈善事业# 
charming a.迷人的，可爱的# 
chart n.图，图表；海图# 
chase n.追逐，追赶，追求# 
cheap a.廉价的；劣质的# 
cheat vt.骗取；哄vi.行骗# 
check vt.检查；制止n.检查# 
cheek n.面颊，脸蛋# 
cheer vt.使振作；欢呼# 
cheerful a.快乐的，愉快的# 
cheese n.乳酪，干酪# 
chemical a.化学的n.化学制品# 
chemist n.化学家；药剂师# 
chemistry n.化学# 
cheque n.支票# 
cherry n.樱桃；樱桃树# 
chess n.棋；国际象棋# 
chest n.胸腔，胸膛；箱子# 
chew vt.咀嚼，嚼碎# 
chicken n.小鸡，小鸟；鸡肉# 
chief a.主要的；首席的# 
child n.小孩，儿童；儿子# 
childhood n.童年，幼年；早期# 
childish a.孩子的；幼稚的# 
chill vt.使变冷n.寒冷# 
chimney n.烟囱，烟筒；玻璃罩# 
chin n.颏，下巴# 
China n.中国# 
china n.瓷器，瓷料# 
Chinese a.中国的n.中国人# 
chocolate n.巧克力；巧克力糖# 
choice n.选择，抉择# 
choke vt.使窒息；塞满# 
choose vt.选择，挑选；情愿# 
chop vt.砍，劈；切细vi.砍# 
Christian n.基督教徒；信徒# 
Christmas n.圣诞节# 
church n.教堂，礼拜堂；教会# 
cigarette n.香烟，纸烟，卷烟# 
cinema n.电影院；电影，影片# 
circle n.圆，圆周；圈子# 
circuit n.电路；环行；巡行# 
circular a.圆的；循环的# 
circulate vt.使循环vi.循环# 
circumference n.圆周，周长，圆周线# 
circumstance n.情况，条件；境遇# 
citizen n.公民；市民，居民# 
city n.城市，都市# 
civil a.公民的；文职的# 
civilization n.文明，文化；开化# 
civilize vt.使文明；教育# 
claim vt.声称，主张；索取# 
clap vi.拍手vt.拍，轻拍# 
clarify vt.澄清，阐明# 
clasp n.扣子，钩子；别针# 
class n.班，班级；阶级# 
classical a.古典的；经典的# 
classification n.分类；分级；分类法# 
classify vt.把…分类# 
classmate n.同班同学# 
classroom n.教室，课堂# 
claw n.爪，脚爪，螯# 
clay n.粘土，泥土；肉体# 
clean a.清洁的；纯洁的# 
clear a.清晰的vt.清除# 
clearly ad.明白地，清晰地# 
clerk n.店员；办事员，职员# 
clever a.聪明的；机敏的# 
cliff n.悬崖，峭壁# 
climate n.气候；风土，地带# 
climb vi.攀登，爬vt.爬# 
cloak n.斗篷；覆盖(物)# 
clock n.钟，仪表# 
close vt.关，闭；结束# 
closely ad.紧密地，接近地# 
cloth n.布；衣料；桌布# 
clothe vt.给…穿衣服# 
clothes n.衣服，服装；被褥# 
clothing n.衣服，被褥# 
cloud n.云；云状物；阴影# 
cloudy a.多云的；云一般的# 
club n.俱乐部，夜总会# 
clue n.线索，暗示，提示# 
clumsy a.笨拙的；愚笨的# 
coach n.长途公共汽车# 
coal n.煤，煤块# 
coarse a.粗的，粗糙的# 
coast n.海岸，海滨(地区)# 
coat n.外套，上衣；表皮# 
cock n.公鸡；雄禽；旋塞# 
code n.准则；法典；代码# 
coffee n.咖啡，咖啡茶# 
coil n.(一)卷；线圈vt.卷# 
coin n.硬币；铸造(硬币)# 
cold a.冷的；冷淡的n.冷# 
collapse vi.倒坍；崩溃，瓦解# 
collar n.衣领，项圈# 
colleague n.同事，同僚# 
collect vt.收集vi.收款# 
collection n.搜集，收集；收藏品# 
collective a.集体的；集合性的# 
college n.学院；大学# 
collision n.碰撞；冲突# 
colonel n.陆军上校；中校# 
colony n.殖民地；侨居地# 
color n.颜色，彩色；颜料# 
column n.柱，支柱，圆柱# 
comb n.梳子vt.梳理# 
combination n.结合，联合；化合# 
combine vt.使结合；兼有# 
come vi.来，来到；出现# 
comfort n.舒适；安慰vt.安慰# 
comfortable a.舒适的，安慰的# 
command vt.命令，指挥；控制# 
commander n.司令官，指挥员# 
comment n.评论，意见；注释# 
commerce n.商业，贸易；社交# 
commercial a.商业的；商品化的# 
commission n.委任状；委员会# 
commit vt.犯(错误);干(坏事)# 
committee n.委员会；全体委员# 
common a.普通的；共同的# 
commonly ad.普通地，一般地# 
communicate vi.通讯；传达；传播# 
communication n.通讯；传达；交通# 
communism n.Communist主义# 
communist n.Communistparty员# 
community n.社区；社会；公社# 
companion n.同伴；共事者；伴侣# 
company n.公司，商号；同伴# 
comparative a.比较的，相对的# 
compare vt.比较，对照；比作# 
comparison n.比较，对照；比似# 
compass n.罗盘，指南针；圆规# 
compel vt.强迫，迫使屈服# 
compete vi.比赛；竞争；对抗# 
competent a.有能力的；应该做的# 
competition n.竞争，比赛# 
compile vt.编辑，编制，搜集# 
complain vi.抱怨，拆苦；控告# 
complaint n.抱怨；怨言；控告# 
complete a.完整的；完成的# 
completely ad.十分，完全地# 
complex a.结合的；复杂的# 
complicate vt.使复杂；使陷入# 
complicated a.复杂的，难懂的# 
component n.组成部分；分；组件# 
compose vt.组成，构成；创作# 
composition n.构成；作品；写作# 
compound n.化合物；复合词# 
comprehension n.理解，理解力；领悟# 
comprehensive a.广泛的；理解的# 
compress vt.压紧，压缩# 
comprise vt.包含，包括；构成# 
compromise n.妥协，和解# 
compute vt.计算，估计，估算# 
computer n.计算机，电脑# 
comrade n.同志，亲密的同伴# 
conceal vt.把…隐藏起来# 
concentrate vt.集中；聚集；浓缩# 
concentration n.集中；专注；浓缩# 
concept n.概念，观念，设想# 
concern n.关心，挂念；关系# 
concerning prep.关于# 
concert n.音乐会，演奏会# 
conclude vt.推断出；结束# 
conclusion n.结论，推论；结尾# 
concrete n.混凝土；具体物# 
condemn vt.谴责，指责；判刑# 
condense vt.压缩，使缩短# 
condition n.状况，状态；环境# 
conduct n.举止，行为；指导# 
conductor n.售票员；(乐队)指挥# 
conference n.会议，讨论会# 
confess vt.供认，承认；坦白# 
confidence n.信任；信赖；信心# 
confident n.确信的，自信的# 
confine vt.限制；禁闭# 
confirm vt.证实，肯定；批准# 
conflict n.争论；冲突；斗争# 
confuse vt.使混乱，混淆# 
confusion n.混乱；骚乱；混淆# 
congratulate vt.祝贺，向…道喜# 
congratulation n.祝贺；祝贺词# 
congress n.大会；国会，议会# 
conjunction n.接合，连接；连接词# 
connect vt.连接，连结；联系# 
connection n.连接，联系；连贯性# 
conquer vt.征服，战胜；破除# 
conquest n.攻取，征服；克服# 
conscience n.良心，道德心# 
conscious a.意识到的；有意的# 
consciousness n.意识，觉悟；知觉# 
consent n.同意，赞成vi.同意# 
consequence n.结果，后果# 
consequently ad.因此，因而，所以# 
conservation n.保存，保护；守恒# 
conservative a.保守的n.保守的人# 
consider vt.认为；考虑；关心# 
considerable a.相当大的；重要的# 
considerate a.考虑周到的；体谅的# 
consideration n.考虑，思考；体贴# 
consist vi.由…组成；在于# 
consistent a.坚持的，一贯的# 
constant a.经常的；永恒的# 
constitution n.章程；体质；构造# 
construct vt.建造；建设；构筑# 
construction n.建造；建筑；建筑物# 
consult vt.请教，查阅# 
consume vt.消耗，消费；消灭# 
consumption n.消耗量；消耗# 
contact vt.使接触；与…联系# 
contain vt.包含，容纳；等于# 
container n.容器；集装箱# 
contemporary a.当代的，同时代的# 
contempt n.轻蔑；藐视；受辱# 
content n.内容，目录；容量# 
content a.满意的，满足的# 
contest vt.争夺，争取；辩驳# 
continent n.大陆；陆地；洲# 
continual a.不断的；连续的# 
continue vt.继续，连续；延伸# 
continuous a.连续不断的，持续的# 
contract n.契约，合同；婚约# 
contradiction n.矛盾，不一致；否认# 
contrary a.相反的n.相反# 
contrast n.对比，对照，悬殊# 
contribute vt.捐献，捐助；投稿# 
control vt.控制，克制n.控制# 
convenience n.便利，方便；厕所# 
convenient a.便利的；近便的# 
convention n.习俗，惯例；公约# 
conventional a.普通的；习惯的# 
conversation n.会话，非正式会谈# 
conversely ad.相反地# 
conversion n.转变，转化；改变# 
convert vt.使转变；使改变# 
convey vt.传送；运送；传播# 
convince vt.使确信，使信服# 
cook vt.烹调，煮vt.烧菜# 
cool a.凉的，冷静的# 
cooperate vi.合作，协作；配合# 
coordinate vt.使协调，调节# 
cope vi.对付，应付# 
copper n.铜；铜币，铜制器# 
copy n.抄件vt.抄写，复制# 
cord n.细绳，粗线，索# 
cordial a.真诚的，诚恳的# 
core n.果实的心，核心# 
corn n.谷物；(英)小麦# 
corner n.角；犄角；边远地区# 
corporation n.公司，企业；社团# 
correct a.正确的vt.纠正# 
correction n.改正，纠正，修改# 
correspond vi.相符合；相当# 
correspondent n.通信者；通讯员# 
corresponding a.相应的；符合的# 
corridor n.走廊，回廊，通路# 
cost n.价格，代价；成本# 
costly a.昂贵的；价值高的# 
cottage n.村舍，小屋# 
cotton n.棉；棉线；棉布# 
cough vi.咳，咳嗽n.咳嗽# 
could aux.v.(can的过去式)# 
council n.理事会，委员会# 
count vt.计算vi.数，计数# 
counter n.柜台；计数器# 
country n.国家，国土；农村# 
countryside n.乡下，农村# 
county n.英国的郡，美国的县# 
couple n.夫妇；(一)对；几个# 
courage n.勇气，胆量，胆识# 
course n.课程；过程；一道菜# 
court n.法院，法庭；庭院# 
cousin n.堂(或表)兄弟(姐妹)# 
cover vt.盖，包括n.盖子# 
cow n.母牛，奶牛；母兽# 
coward n.懦夫；胆怯者# 
crack n.裂缝，裂纹vi.爆裂# 
craft n.工艺；手艺，行业# 
crane n.起重机，摄影升降机# 
collision vi.碰撞，坠落n.碰撞# 
crawl vi.爬，爬行# 
crazy a.疯狂的，荒唐的# 
cream n.奶油，乳脂；奶油色# 
create vt.创造；引起，产生# 
creative a.创造性的，创作的# 
creature n.生物，动物，家畜# 
credit n.信用贷款；信用# 
creep vi.爬行；缓慢地行进# 
crew n.全体船员# 
cricket n.板球；蟋蟀# 
crime n.罪，罪行；犯罪# 
criminal n.犯人，罪犯，刑事犯# 
cripple n.跛子；残废的人# 
crisis n.危机；存亡之际# 
critic n.批评家，爱挑剔的人# 
critical a.决定性的；批评的# 
criticism n.批评；批判；评论# 
criticize vt.批评；评论；非难# 
crop n.农作物，庄稼；一熟# 
cross vt.穿过；使交叉# 
crow n.鸦，乌鸦vi.啼# 
crowd n.群；大众；一伙人# 
crown n.王冠，冕；花冠# 
crude a.简陋的；天然的# 
cruel a.残忍的，残酷的# 
crush vt.压碎，碾碎；镇压# 
crust n.面包皮；硬外皮# 
cry vi.哭，哭泣；叫喊# 
crystal n.水晶，结晶体；晶粒# 
cube n.立方形；立方# 
cubic a.立方形的；立方的# 
cucumber n.黄瓜# 
cultivate vt.耕；种植；培养# 
culture n.文化，文明；教养# 
cunning a.狡猾的，狡诈的# 
cup n.杯子；(一)杯；奖杯# 
cupboard n.碗柜，碗碟橱；食橱# 
cure vt.医治；消除n.治愈# 
curiosity n.好奇，好奇心；珍品# 
curious a.好奇的；稀奇古怪的# 
curl n.卷毛；螺旋vi.卷曲# 
current a.当前的；通用的# 
curse n.诅咒，咒骂；天谴# 
curtain n.帘，窗帘；幕(布)# 
curve n.曲线；弯vt.弄弯# 
cushion n.垫子，坐垫，靠垫# 
custom n.习惯，风俗；海关# 
customer n.顾客，主顾# 
cut vt.切，割，剪；减少# 
cycle n自行车，循环#
@
